CSE Block 	Apartment	LovelyBakeStudio	Mocktails	Monday Blue		165	
CSE Block 	Apartment	LovelyBakeStudio	Mocktails	Pina Colada (Milk Based)		165	
CSE Block 	Apartment	LovelyBakeStudio	Ice Tea	Club Ice Tea		95	
CSE Block 	Apartment	LovelyBakeStudio	Ice Tea	Peach Ice Tea		95	
CSE Block 	Apartment	LovelyBakeStudio	Ice Tea	Passion Fruit Tea		95	
CSE Block 	Apartment	LovelyBakeStudio	Tea	Masala Tea		45	
CSE Block 	Apartment	LovelyBakeStudio	Desserts	Vanilla Fudge Sundae		120	
CSE Block 	Apartment	LovelyBakeStudio	Desserts	Hot Brownie Sundae		160	
CSE Block 	Apartment	LovelyBakeStudio	Desserts	Bourbon Sundae		160	
CSE Block 	Apartment	LovelyBakeStudio	Desserts	Choco Truffle Sundae		160	
CSE Block 	Apartment	LovelyBakeStudio	Add On Extra	Syrup Chocolate		30	
CSE Block 	Apartment	LovelyBakeStudio	Add On Extra	Ice Cream Scoop Vanilla		40	
CSE Block 	Apartment	LovelyBakeStudio	Add On Extra	Ice Cream Scoop Chocolate		40	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Fresh Lime Soda		105	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Masala Lemonade		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Peach Lemonade		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Pink Lemonade		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Masala Coke		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Ginger Ale		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Green Apple Soda		125	
CSE Block 	Apartment	LovelyBakeStudio	Coolers	Ocean Blue (Ice Based)		125	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Classic Virgin Mojito		135	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Luscious Mango		135	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Water Melon		135	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Passion Fruit		135	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Green Apple		135	
CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Peach Mojito		135	
